# AiPinyin 词典 — 自动生成，请勿手动编辑
# 格式: 拼音,汉字,权重
# 共 47622 条
youbixiangche,油壁香车,60
youtouguanggun,油头光棍,60
youtouhuanao,油头滑脑,60
youtouhualian,油头滑脸,60
youtouhuamian,油头滑面,60
youtoufenmian,油头粉面,60
youganhuojin,油干火尽,60
yougandengjin,油干灯尽,60
yougandengcaojin,油干灯草尽,30
youxing,油星,100
youtiao,油条,100
youtong,油桶,100
youqiliu,油气流,60
youni,油泥,100
youjiaohuoliao,油浇火燎,60
youqijiang,油漆匠,60
youzha,油炸,100
youzhatudoupian,油炸土豆片,30
youzhaguo,油炸果,60
youzhagui,油炸鬼,60
youjianhuoliao,油煎火燎,60
youdianhunheche,油电混合车,30
youshi,油石,100
youpiaoer,油票儿,60
youguan,油管,100
youlou,油篓,100
youlv,油绿,100
youguan,油罐,100
youguanche,油罐车,60
youzhimahua,油脂麻花,60
youqianghuadiao,油腔滑调,60
yougao,油膏,100
youcaihua,油菜花,60
youcang,油藏,100
youzhi,油质,100
youche,油车,100
youji,油迹,100
zhisang,治丧,100
zhijia,治家,100
zhishan,治山,100
zhifu,治服,100
zhiwu,治污,100
zhisha,治沙,100
zhiqiong,治穷,100
zhihuang,治黄,100
zhaodi,沼地,100
zhaoze,沼泽,100
zhaozedi,沼泽地,60
gumingganyu,沽名干誉,60
gumingyaoyu,沽名要誉,60
zhanqin,沾亲,100
zhanqindaiyou,沾亲带友,60
zhanqindaigu,沾亲带故,60
zhanhua,沾化,100
zhanzhanzihao,沾沾自好,60
zhannidaishui,沾泥带水,60
zhanfengrecao,沾风惹草,60
yantiao,沿条,100
yantiaoer,沿条儿,60
yanzhe,沿着,100
xiejin,泄劲,100
xiemi,泄密,100
xiedi,泄底,100
xiehen,泄恨,100
xiefen,泄愤,100
xieqi,泄气,100
xieshui,泄水,100
xieta,泄沓,100
xiexie,泄泻,100
xiehong,泄洪,100
xiehongdao,泄洪道,60
xielou,泄漏,100
xieloutianji,泄漏天机,60
xielou,泄露,100
xieloutianji,泄露天机,60
quanyong,泉涌,100
quanshigaohuang,泉石膏肓,60
bowei,泊位,100
podi,泊地,100
boche,泊车,100
miniaoxitong,泌尿系统,60
biyang,泌阳,100
fabuchuanliuer,法不传六耳,30
fabuxunqing,法不徇情,60
fabuzezhong,法不责众,60
fabuegui,法不阿贵,60
faling,法令,100
fahui,法会,100
fahao,法号,100
faxiangjiasudu,法向加速度,30
faguohao,法国号,60
fachang,法场,100
fadingrenshu,法定人数,60
fajia,法家,100
fajiabishi,法家拂士,60
fatie,法帖,100
fadu,法度,100
falvguanxi,法律关系,60
falvzhidu,法律制度,60
falvyishi,法律意识,60
falvxingwei,法律行为,60
falvzeren,法律责任,60
fala,法拉,100
faladi,法拉第,60
fawukedai,法无可贷,60
fashu,法术,100
fawang,法王,100
faxiang,法相,100
faji,法纪,100
famaizhunsheng,法脉准绳,60
fayu,法语,100
falunchangzhuan,法轮常转,60
falang,法郎,100
fanhua,泛化,100
fanzhaifujia,泛宅浮家,60
fanyingqudang,泛应曲当,60
fanhaomocang,泛浩摩苍,60
fanshenlun,泛神论,60
fancheng,泛称,100
fanlun,泛论,100
paozhi,泡制,100
paoniu,泡妞,100
paozi,泡子,100
paoying,泡影,100
paotong,泡桐,100
paotang,泡汤,100
paomo,泡沫,100
paomosuliao,泡沫塑料,60
paomojingji,泡沫经济,60
paopao,泡泡,100
paopaosha,泡泡纱,60
paozhang,泡涨,100
paoxuan,泡漩,100
paozao,泡澡,100
paobinghao,泡病号,60
paozhaota,泡罩塔,60
paocha,泡茶,100
paocai,泡菜,100
paomogu,泡蘑菇,60
paohuo,泡货,100
paofan,泡饭,100
bozhuyunwei,波属云委,60
bozhe,波折,100
bosimao,波斯猫,60
bobolulu,波波碌碌,60
botaoxiongyong,波涛汹涌,60
bowen,波纹,100
boluosaixi,波罗塞戏,60
boluodihai,波罗的海,60
bochang,波长,100
bohaiyunzhu,波骇云属,60
qixiaruyu,泣下如雨,60
qibukeyang,泣不可仰,60
qibuchengsheng,泣不成声,60
qishuhangxia,泣数行下,60
qitiruyu,泣涕如雨,60
qixue,泣血,100
qixuechuiying,泣血捶膺,60
qixuezhenge,泣血枕戈,60
qixuejisang,泣血稽颡,60
nizhongyinci,泥中隐刺,60
niwan,泥丸,100
niren,泥人,100
nigu,泥古,100
nigubuhua,泥古不化,60
nigujufang,泥古拘方,60
nigufeijin,泥古非今,60
nimingshishi,泥名失实,60
nitu,泥土,100
nikeng,泥坑,100
nipi,泥坯,100
nigou,泥垢,100
nisu,泥塑,100
nisumudiao,泥塑木雕,60
nitang,泥塘,100
niduofoda,泥多佛大,60
niwawa,泥娃娃,60
nizi,泥子,100
nifeng,泥封,100
niyan,泥岩,100
niba,泥巴,100
nishui,泥水,100
nishuijiang,泥水匠,60
niwu,泥污,100
nisha,泥沙,100
nishajuxia,泥沙俱下,60
nizhao,泥沼,100
nining,泥泞,100
nijiang,泥浆,100
ninao,泥淖,100
nitan,泥滩,100
nitan,泥潭,100
nihui,泥灰,100
nitan,泥炭,100
niniuruhai,泥牛入海,60
nizhuwagou,泥猪瓦狗,60
nizhujiegou,泥猪疥狗,60
nizhulaigou,泥猪癞狗,60
niwajiang,泥瓦匠,60
niwagong,泥瓦工,60
nishiliu,泥石流,60
nieerbuzi,泥而不滓,60
nitai,泥胎,100
nichuanduhe,泥船渡河,60
nipusa,泥菩萨,60
nipusaguojiang,泥菩萨过江,30
nipanbuzi,泥蟠不滓,60
nizujuren,泥足巨人,60
nichewama,泥车瓦马,60
nijinwandian,泥金万点,60
nifanwan,泥饭碗,60
niqiu,泥鳅,100
zhushe,注射,100
zhusheqi,注射器,60
zhusheye,注射液,60
zhujie,注解,100
zhuzhong,注重,100
leiruquanyong,泪如泉涌,60
leiruyuxia,泪如雨下,60
leiganchangduan,泪干肠断,60
minmo,泯没,100
taihe,泰和,100
taining,泰宁,100
taishanburangturang,泰山不让土壤,30
taishanqitui,泰山其颓,60
taishanbeidou,泰山北斗,60
taishanyaluan,泰山压卵,60
taishanyading,泰山压顶,60
taishanpanshi,泰山盘石,60
taishanshigandang,泰山石敢当,30
taishanpanshi,泰山磐石,60
taidou,泰斗,100
tailaipiwang,泰来否往,60
tailaipiji,泰来否极,60
taijierpi,泰极而否,60
tairanchuzhi,泰然处之,60
tairanziruo,泰然自若,60
taiyu,泰语,100
yangyangdaguo,泱泱大国,60
yangyangdafeng,泱泱大风,60
xiedu,泻肚,100
pola,泼剌,100
potiandahuo,泼天大祸,60
poshuijie,泼水节,60
poshuinanshou,泼水难收,60
posa,泼洒,100
zelan,泽兰,100
zejikugu,泽及枯骨,60
zewenmoya,泽吻磨牙,60
zeguo,泽国,100
zexie,泽泻,100
zebeihoushi,泽被后世,60
jingweibufen,泾渭不分,60
jingweifenming,泾渭分明,60
jingweizifen,泾渭自分,60
jiejing,洁净,100
jiejiconggong,洁己从公,60
jiefu,洁肤,100
jieshenleixing,洁身累行,60
jieshenzihao,洁身自好,60
yangweizhongyong,洋为中用,60
yanghua,洋化,100
yangweier,洋味儿,60
yangdihuang,洋地黄,60
yangchang,洋场,100
yangfu,洋服,100
yangyangdaguan,洋洋大观,60
yangyangdeyi,洋洋得意,60
yangyangsasa,洋洋洒洒,60
yangyangsasa,洋洋纚纚,60
yangyangzide,洋洋自得,60
yangxiang,洋相,100
yanghong,洋红,100
yangcongtou,洋葱头,60
yanghang,洋行,100
yangche,洋车,100
yangjiu,洋酒,100
yangliyangqi,洋里洋气,60
sajia,洒家,100
saxingengshi,洒心更始,60
sasao,洒扫,100
sasaoyingdui,洒扫应对,60
sashuiche,洒水车,60
salei,洒泪,100
sasa,洒洒,100
sasaxiaoxiao,洒洒潇潇,60
sagouxie,洒狗血,60
satuo,洒脱,100
saluo,洒落,100
xisan,洗三,100
xibingmuma,洗兵牧马,60
xiyuan,洗冤,100
xijing,洗净,100
xishua,洗刷,100
xiji,洗剂,100
xijie,洗劫,100
xijieyikong,洗劫一空,60
xiyin,洗印,100
xifa,洗发,100
xifajing,洗发精,60
xigounixia,洗垢匿瑕,60
xigouqiuxia,洗垢求瑕,60
xigouqiuban,洗垢求瘢,60
xigousuoban,洗垢索瘢,60
xitou,洗头,100
xichen,洗尘,100
xixinhuimian,洗心回面,60
xixinhuangu,洗心换骨,60
xixindilv,洗心涤虑,60
xixinzixin,洗心自新,60
xixingemian,洗心革面,60
xishou,洗手,100
xishoubugan,洗手不干,60
xishoufenggong,洗手奉公,60
xishoufengzhi,洗手奉职,60
xishoujian,洗手间,60
xiran,洗染,100
xirandian,洗染店,60
xixi,洗洗,100
xiyu,洗浴,100
xidi,洗涤,100
xidiji,洗涤剂,60
xishuan,洗涮,100
xishu,洗漱,100
xizao,洗澡,100
xizhuo,洗濯,100
xizhuomocui,洗濯磨淬,60
xitang,洗烫,100
ximei,洗煤,100
ximeichang,洗煤厂,60
xipai,洗牌,100
ximeishuamu,洗眉刷目,60
xili,洗礼,100
xilian,洗练,100
xiergongting,洗耳恭听,60
xiergongting,洗耳拱听,60
xichang,洗肠,100
xichangdiwei,洗肠涤胃,60
xiwei,洗胃,100
xijiaoshangchuan,洗脚上船,60
xituo,洗脱,100
xilianpen,洗脸盆,60
xiyi,洗衣,100
xiyidian,洗衣店,60
xiyifu,洗衣服,60
xiyiji,洗衣机,60
xiyifen,洗衣粉,60
xiqian,洗钱,100
xixue,洗雪,100
xixuebufu,洗雪逋负,60
xijingjiulu,洗颈就戮,60
xisuifamao,洗髓伐毛,60
luofu,洛夫,100
dongzhongkenqing,洞中肯綮,60
dongtianfudi,洞天福地,60
dongruguanhuo,洞如观火,60
dongchayiqie,洞察一切,60
dongchaqijian,洞察其奸,60
dongyouzhuyuan,洞幽烛远,60
dongzhuqijian,洞烛其奸,60
dongruoguanhuo,洞若观火,60
dongjian,洞见,100
dongjianzhengjie,洞见症结,60
dongjianfeixing,洞鉴废兴,60
dongyinzhuwei,洞隐烛微,60
jinguanxiansai,津关险塞,60
jinjinledao,津津乐道,60
jinjinyouwei,津津有味,60
jinyao,津要,100
hongqiaoshaoshu,洪乔捎书,60
hongda,洪大,100
hongshuihengliu,洪水横流,60
hongze,洪泽,100
hongzehu,洪泽湖,60
hongluliaofa,洪炉燎发,60
hongfuqitian,洪福齐天,60
hongdoulasi,洪都拉斯,60
hongliang,洪量,100
zhoujidaodan,洲际导弹,60
zhoujidandaodaodan,洲际弹道导弹,30
huosi,活似,100
huoti,活体,100
huofo,活佛,100
huobian,活便,100
huoer,活儿,100
huofen,活分,100
huoboshengtun,活剥生吞,60
huodongfenzi,活动分子,60
huodongshi,活动室,60
huodongjia,活动家,60
huohua,活化,100
huoditu,活地图,60
huodiyu,活地狱,60
huomai,活埋,100
huosai,活塞,100
huoziyinshua,活字印刷,60
huojiaocai,活教材,60
huoqi,活期,100
huoqicunkuan,活期存款,60
huozhe,活着,100
huojie,活结,100
huoluo,活络,100
huoxue,活血,100
huojiangui,活见鬼,60
huobengluantiao,活蹦乱跳,60
huobenghuotiao,活蹦活跳,60
huoyanwang,活阎王,60
huobazi,活靶子,60
huoshi,活食,100
huoxianxian,活鲜鲜,60
huolongxianjian,活龙鲜健,60
wadi,洼地,100
qiatanhui,洽谈会,60
qiawenqiangji,洽闻强记,60
paibushi,派不是,60
paibie,派别,100
paifa,派发,100
paiyuan,派员,100
paitou,派头,100
paihuoer,派活儿,60
paixi,派系,100
liuli,流丽,100
liuyun,流云,100
liuwang,流亡,100
liuchuan,流传,100
liuti,流体,100
liubie,流别,100
liuhua,流化,100
liutianchedi,流天澈地,60
liushilv,流失率,60
liushisheng,流失生,60
liunianbuli,流年不利,60
liuniansishui,流年似水,60
liudan,流弹,100
liusan,流散,100
liuxingyu,流星雨,60
liudu,流毒,100
liumang,流氓,100
liumangwuchanzhe,流氓无产者,30
liushuichaozong,流水朝宗,60
liushuiluohua,流水落花,60
liushuixingyun,流水行云,60
liuhan,流汗,100
liuhanjiabei,流汗浃背,60
liusha,流沙,100
liutang,流淌,100
liuniwangfan,流溺忘反,60
liulisuowei,流离琐尾,60
liulizhuanxi,流离转徙,60
liulidianzhi,流离颠疐,60
liusu,流苏,100
liuluo,流落,100
liuluotaxiang,流落他乡,60
liuluotianya,流落天涯,60
liuluoshisuo,流落失所,60
liuluojianghu,流落江湖,60
liuluofengchen,流落风尘,60
liuxie,流血,100
liuxueqianli,流血千里,60
liuxuepiaolu,流血漂卤,60
liuxing,流行,100
liuxingkanzhi,流行坎止,60
liuxingxingganmao,流行性感冒,30
liuxinggequ,流行歌曲,60
liuxingbing,流行病,60
liuxingse,流行色,60
liuyanhunhua,流言混话,60
liuyanfeiyu,流言蜚语,60
liuyanfengyu,流言风语,60
liuyanfeiyu,流言飞语,60
liuzhishiwu,流质食物,60
liuzhuan,流转,100
liuzhuanshui,流转税,60
liutongquan,流通券,60
liuliang,流量,100
liujinshuoshi,流金铄石,60
liulu,流露,100
liufeng,流风,100
liufengyusu,流风余俗,60
liufengyuyun,流风余韵,60
liufenghuixue,流风回雪,60
liufengyiji,流风遗迹,60
liushi,流食,100
jiabeihanliu,浃背汗流,60
qianxue,浅学,100
qianchang,浅尝,100
qianchangzhezhi,浅尝辄止,60
qianxijinqiu,浅希近求,60
qianzhendichang,浅斟低唱,60
qianming,浅明,100
qianyi,浅易,100
qianxian,浅显,100
qianshui,浅水,100
qianqian,浅浅,100
qianfudiao,浅浮雕,60
qianhai,浅海,100
qiandan,浅淡,100
qiantan,浅滩,100
qianbai,浅白,100
qianxiao,浅笑,100
qiangeng,浅耕,100
qianse,浅色,100
qianbo,浅薄,100
qianbiao,浅表,100
qianjian,浅见,100
qianjianguawen,浅见寡闻,60
qianshuo,浅说,100
qiantan,浅谈,100
qianjin,浅近,100
qianlou,浅陋,100
qianlu,浅露,100
jiangguo,浆果,100
jiangshuibujiao,浆水不交,60
jiangzhi,浆汁,100
jiangxi,浆洗,100
jiangye,浆液,100
jianghu,浆糊,100
jiangjiuhuorou,浆酒藿肉,60
jiangjiuhuorou,浆酒霍肉,60
jiaodi,浇地,100
jiaotou,浇头,100
jiaosa,浇洒,100
jiaochunsanpu,浇淳散朴,60
jiaobo,浇薄,100
jiaochunsanpu,浇醇散朴,60
jiaofengbosu,浇风薄俗,60
zhuodu,浊度,100
zhuoshui,浊水,100
zhuolang,浊浪,100
zhuogufantai,浊骨凡胎,60
ceguang,测光,100
ceduo,测度,100
cecha,测查,100
ceju,测距,100
cesu,测速,100
celiang,测量,100
celiangxue,测量学,60
cezhen,测震,100
jishi,济世,100
jishizhicai,济世之才,60
jishikuangshi,济世匡时,60
jishianren,济世安人,60
jishianmin,济世安民,60
jishianbang,济世安邦,60
jishijiuren,济世救人,60
jishi,济事,100
jirenliwu,济人利物,60
jigong,济公,100
jizhu,济助,100
jinan,济南,100
jinanshi,济南市,60
jikunfuwei,济困扶危,60
jining,济宁,100
jihanzhenpin,济寒赈贫,60
jiruofuqing,济弱扶倾,60
jiruochuqiang,济弱锄强,60
jihefenzhou,济河焚舟,60
jiji,济济,100
jijiyitang,济济一堂,60
jisi,济私,100
jiqiaopiaofeng,济窍飘风,60
jikulianpin,济苦怜贫,60
jipin,济贫,100
jipinbaku,济贫拔苦,60
hunsi,浑似,100
hunsuheguang,浑俗和光,60
huntouhunnao,浑头浑脑,60
hunjia,浑家,100
hunluntunzao,浑抡吞枣,60
hunpiao,浑朴,100
hunshuimoyu,浑水摸鱼,60
hunranyiti,浑然一体,60
hunranwuzhi,浑然无知,60
hunqiuer,浑球儿,60
hunshenshangxia,浑身上下,60
hunshenmaohan,浑身冒汗,60
hunshenxieshu,浑身解数,60
xushuguan,浒墅关,60
nongmozhongcai,浓墨重彩,60
nongzhuangyanmo,浓妆艳抹,60
nongzhuangyanfu,浓妆艳服,60
nongdu,浓度,100
nongmodanzhuang,浓抹淡妆,60
nongmeidayan,浓眉大眼,60
nonglv,浓绿,100
nongsuo,浓缩,100
nongyin,浓荫,100
nongyinbiri,浓荫蔽日,60
nongzhuangyanmo,浓装艳抹,60
nongzhong,浓重,100
nongyin,浓阴,100
zhejiangdaxue,浙江大学,60
zhejiangsheng,浙江省,60
haoda,浩大,100
haoqichangcun,浩气长存,60
haohaoshangshang,浩浩汤汤,60
haofan,浩繁,100
langtou,浪头,100
langzihuitou,浪子回头,60
langzihuitoujinbuhuan,浪子回头金不换,30
langzizaixiang,浪子宰相,60
langfeng,浪峰,100
fuyidabai,浮一大白,60
fuyunzhaolu,浮云朝露,60
fudonghuilv,浮动汇率,60
fuhua,浮华,100
fumingboli,浮名薄利,60
fushengqiexiang,浮声切响,60
futouhuanao,浮头滑脑,60
fukua,浮夸,100
fukuafeng,浮夸风,60
fujiafanzhai,浮家泛宅,60
fushouleshe,浮收勒折,60
fushoulesuo,浮收勒索,60
fuwenqiaoyu,浮文巧语,60
fuqian,浮浅,100
fupiao,浮漂,100
fuguashenli,浮瓜沈李,60
fushengliuji,浮生六记,60
fushengqiexiang,浮生切响,60
fushengruomeng,浮生若梦,60
fubaizaibi,浮白载笔,60
fupiliaocao,浮皮潦草,60
fushi,浮石,100
fushichenmu,浮石沉木,60
fuerbushi,浮而不实,60
fuyuxuci,浮语虚辞,60
yufo,浴佛,100
yuchang,浴场,100
yuxue,浴血,100
yuxuefenzhan,浴血奋战,60
haishang,海上,100
haibuyangbo,海不扬波,60
haibuboyi,海不波溢,60
haizhonglaoyue,海中捞月,60
haishou,海兽,100
hainei,海内,100
haineiwushuang,海内无双,60
haineidingfei,海内鼎沸,60
haijunhangkongbing,海军航空兵,30
haibeitiannan,海北天南,60
haiqu,海区,100
hainan,海南,100
hainandao,海南岛,60
hainansheng,海南省,60
haishen,海参,100
haishenwei,海参崴,60
haiyuan,海员,100
haidi,海地,100
haiwaiguanxi,海外关系,60
haiwaiqitan,海外奇谈,60
hailing,海岭,100
haipingxian,海平线,60
haidi,海底,100
haidilaoyue,海底捞月,60
haidilaozhen,海底捞针,60
haidebaodaxue,海德堡大学,30
haishan,海扇,100
haikushilan,海枯石烂,60
haikujiandi,海枯见底,60
haishuibukedouliang,海水不可斗量,30
haishuiyu,海水浴,60
haishuinanliang,海水难量,60
haifeishanlie,海沸山裂,60
haiyangquan,海洋权,60
haiyatianjiao,海涯天角,60
haihandifu,海涵地负,60
haiheshilan,海涸石烂,60
haigang,海港,100
haiyan,海燕,100
haiwangxing,海王星,60
haijiang,海疆,100
haijin,海禁,100
haiyueshanmeng,海约山盟,60
haitai,海苔,100
haishe,海蛇,100
haijiao,海角,100
haijiaotianya,海角天涯,60
haijiaotianyu,海角天隅,60
hailiang,海量,100
haidiao,海钓,100
haikuotiankong,海阔天空,60
hainan,海难,100
haifeng,海风,100
haiyu,海鱼,100
haixian,海鲜,100
haiman,海鳗,100
haigui,海龟,100
jinmo,浸没,100
jinpao,浸泡,100
jinxi,浸洗,100
jinzhong,浸种,100
tumo,涂抹,100
tugexiangwu,涂歌巷舞,60
tupian,涂片,100
tuzhimofen,涂脂抹粉,60
nieerbuzi,涅而不淄,60
nieerbuzi,涅而不缁,60
xiaowang,消亡,100
xiaohua,消化,100
xiaohuabuliang,消化不良,60
xiaohuaxitong,消化系统,60
xiaohuaxian,消化腺,60
xiaohuadao,消化道,60
xiaohuamei,消化酶,60
xiaoxiyingchong,消息盈冲,60
xiaochoujiemen,消愁解闷,60
xiaosan,消散,100
xiaodu,消毒,100
xiaodugui,消毒柜,60
xiaoyanpian,消炎片,60
xiaoshihui,消石灰,60
xiaoci,消磁,100
xiaomo,消磨,100
xiaojie,消解,100
xiaofeijiegou,消费结构,60
xiaozhang,消长,100
xiaoshi,消食,100
shejimian,涉及面,60
shewaihunyin,涉外婚姻,60
shebichengqu,涉笔成趣,60
yongchu,涌出,100
yongdong,涌动,100
yongquan,涌泉,100
yongliu,涌流,100
yonglang,涌浪,100
yongchao,涌潮,100
yongxian,涌现,100
yongjin,涌进,100
xianzhelian,涎着脸,60
xianyanxianyu,涎言涎语,60
juandibusheng,涓滴不剩,60
juandibulou,涓滴不漏,60
juandibuyi,涓滴不遗,60
tisihengliu,涕泗横流,60
tisipangtuo,涕泗滂沲,60
tisizongheng,涕泗纵横,60
tilingruyu,涕零如雨,60
woxuan,涡旋,100
guohe,涡河,100
woliu,涡流,100
wolunji,涡轮机,60
huanfadahao,涣发大号,60
huansan,涣散,100
huanhandahao,涣汗大号,60
huanruobingxiao,涣若冰消,60
huanruobingshi,涣若冰释,60
dika,涤卡,100
didiwulei,涤地无类,60
digugengxin,涤故更新,60
dilun,涤纶,100
runze,润泽,100
zhangjia,涨价,100
zhangshui,涨水,100
zhangchao,涨潮,100
zhanghong,涨红,100
zhanghonglelian,涨红了脸,60
zhangluo,涨落,100
zhangqian,涨钱,100
zhangfeng,涨风,100
seyuyanlun,涩于言论,60
shuanxi,涮洗,100
shuanyangrou,涮羊肉,60
shuanrou,涮肉,100
yetizhadan,液体炸弹,60
yeyayou,液压油,60
hesiganlv,涸思干虑,60
hezeeryu,涸泽而渔,60
heyudeshui,涸鱼得水,60
hefudeshui,涸鲋得水,60
linyu,淋浴,100
linyuqi,淋浴器,60
linlin,淋淋,100
linlijinzhi,淋漓尽致,60
linbing,淋病,100
linyu,淋雨,100
tanghan,淌汗,100
shunv,淑女,100
taoqibao,淘气包,60
taoshaqujin,淘沙取金,60
taoshadejin,淘沙得金,60
taoxi,淘洗,100
danhua,淡化,100
danzhuangnongmo,淡妆浓抹,60
danzhuangqingmo,淡妆轻抹,60
dansaoemei,淡扫蛾眉,60
danrunongmo,淡汝浓抹,60
danbo,淡泊,100
danbomingzhi,淡泊明志,60
danranchuzhi,淡然处之,60
danhong,淡红,100
danlv,淡绿,100
danerbuyan,淡而不厌,60
danbo,淡薄,100
danqing,淡青,100
yuse,淤塞,100
yuni,淤泥,100
yuxue,淤血,100
yinxinnixing,淫心匿行,60
yinyanxieyu,淫言媟语,60
yinyanxiayu,淫言狎语,60
yinyanbixing,淫言诐行,60
yincixieyu,淫词亵语,60
yincihuiyu,淫词秽语,60
yinciyanqu,淫词艳曲,60
yincihuiyu,淫辞秽语,60
yincixieshuo,淫辞邪说,60
yinyu,淫雨,100
huainanjiquan,淮南鸡犬,60
huaijuweizhi,淮橘为枳,60
huaiwangjigou,淮王鸡狗,60
shenbukece,深不可测,60
shenzhongduxing,深中笃行,60
shenzhongkenqing,深中肯綮,60
shenzhongyinhou,深中隐厚,60
shenwei,深为,100
shenrenhouze,深仁厚泽,60
shenchoudahen,深仇大恨,60
shenchouxiuyuan,深仇宿怨,60
shenchouzhongyuan,深仇重怨,60
shenxinbuyi,深信不疑,60
shenruqianchu,深入浅出,60
shenrugaohuang,深入膏肓,60
shenrugusui,深入骨髓,60
shenqie,深切,100
shenqiezheming,深切着明,60
shenqiezhebai,深切着白,60
shenqiezhuming,深切著明,60
shenqiezhubai,深切著白,60
shencishusui,深刺腧髓,60
shenjiagong,深加工,60
shenhua,深化,100
shenliqianqi,深厉浅揭,60
shenshouqihai,深受其害,60
shentuyuansuan,深图远算,60
shenaomoce,深奥莫测,60
shenzhaidayuan,深宅大院,60
shenshanchanggu,深山长谷,60
shenxiang,深巷,100
shenguang,深广,100
shendu,深度,100
shenderenxin,深得人心,60
shensi,深思,100
shensishulv,深思熟虑,60
shensikusuo,深思苦索,60
shensiyuanlv,深思远虑,60
shenkong,深恐,100
shenwutongji,深恶痛嫉,60
shenwutongji,深恶痛疾,60
shenwutongjue,深恶痛绝,60
shenqingdili,深情底理,60
shenweizhonglv,深惟重虑,60
shenjiongguyao,深扃固钥,60
shenwenfuhui,深文傅会,60
shenwenzhouna,深文周内,60
shenwendayi,深文大义,60
shenwenqushe,深文曲折,60
shenwenfuhui,深文附会,60
shenmingdayi,深明大义,60
shengengbanye,深更半夜,60
shengengudi,深根固柢,60
shengenningji,深根宁极,60
shengenpanjie,深根蟠结,60
shenshuizhadan,深水炸弹,60
shenqian,深浅,100
shenyouyuanji,深猷远计,60
shenxing,深省,100
shenzhizhuojian,深知灼见,60
shenfan,深翻,100
shencangruoxu,深藏若虚,60
shenjianyuanlv,深见远虑,60
shenjiyuanlv,深计远虑,60
shenmouyuanlüe,深谋远略,60
shenmouyuanlv,深谋远虑,60
shenguweiling,深谷为陵,60
shenyuan,深远,100
shenchang,深长,100
shenchoudahen,深雠大恨,60
chunyu,淳于,100
chunhua,淳化,100
chunhou,淳厚,100
chunmei,淳美,100
hunshimowang,混世魔王,60
hunweiyiti,混为一体,60
hunweiyitan,混为一谈,60
hunzuoyitan,混作一谈,60
hunsuheguang,混俗和光,60
hunyang,混养,100
hunningzhijiang,混凝纸浆,60
hunshuang,混双,100
hunhemianer,混合面儿,60
hunhe,混和,100
hunsheng,混声,100
hunzi,混子,100
hunzhang,混帐,100
hunyinglanying,混应滥应,60
hunzhanyichang,混战一场,60
hunrizi,混日子,60
hunshuilaoyu,混水捞鱼,60
hunshuimoyu,混水摸鱼,60
hundunbufen,混沌不分,60
hunhuo,混活,100
hunzhuo,混浊,100
hunxiaoshifei,混淆是非,60
hunxiaoshiting,混淆视听,60
hunxiaoheibai,混淆黑白,60
hunhun,混混,100
hunhunee,混混噩噩,60
hunhunyunyun,混混沄沄,60
hunhundundun,混混沌沌,60
hunranyiti,混然一体,60
hunrantiancheng,混然天成,60
hunqiuer,混球儿,60
hunxue,混血,100
hunxueer,混血儿,60
hunfan,混饭,100
yanhuiguantong,淹会贯通,60
yanmai,淹埋,100
yanmo,淹没,100
yanni,淹溺,100
tianding,添丁,100
tiancai,添彩,100
tianzhijiaye,添枝加叶,60
tianzhizengye,添枝增叶,60
tianzhijieye,添枝接叶,60
tianyanzhecu,添盐着醋,60
tianzhuanjiawa,添砖加瓦,60
tianse,添色,100
qingjingjimie,清净寂灭,60
qingjingwuwei,清净无为,60
qinghuadaxue,清华大学,60
qingjunce,清君侧,60
qingguannengduanjiawushi,清官能断家务事,30
qingguannanduanjiawushi,清官难断家务事,30
qinghan,清寒,100
qingku,清库,100
qinglianzhengzhi,清廉正直,60
qingweidanyuan,清微淡远,60
qingxinshaoyu,清心少欲,60
qingwa,清挖,100
qingmingjie,清明节,60
qingqian,清欠,100
qingshuiwudayu,清水无大鱼,30
qingtangguashui,清汤寡水,60
qingjieche,清洁车,60
qingliekejian,清洌可鉴,60
qingzhuotongliu,清浊同流,60
qingyu,清淤,100
qingyuanzhengben,清源正本,60
qingfei,清肺,100
qingyingxiuche,清莹秀澈,60
qingciliju,清词丽句,60
qingpinruxi,清贫如洗,60
qingciliju,清辞丽句,60
qingciliqu,清辞丽曲,60
qingdouzifu,清都紫府,60
qingdouziwei,清都紫微,60
qingdoujiangque,清都绛阙,60
qingzhang,清障,100
qingjingwuwei,清静无为,60
qingfengliangxiu,清风两袖,60
qingfengliangjie,清风亮节,60
qingfengjingjie,清风劲节,60
qingfengjunjie,清风峻节,60
qingfengmingyue,清风明月,60
qingfenglangyue,清风朗月,60
qingfenggaojie,清风高节,60
yuantuyuansuan,渊图远算,60
yuanyongfengli,渊涌风厉,60
yuanjuanhuohu,渊涓蠖濩,60
yuanqingyujie,渊清玉絜,60
yuantingyuezhi,渊渟岳峙,60
yuantingyueli,渊渟岳立,60
yuantingzehui,渊渟泽汇,60
yuanyuanyouzi,渊源有自,60
yuanyuanyouzilai,渊源有自来,30
yuanmouyuanlüe,渊谋远略,60
yuanyucongque,渊鱼丛雀,60
duzhi,渎职,100
duzhizui,渎职罪,60
jianbukezhang,渐不可长,60
jianrenmoyi,渐仁摩义,60
jianrenmoyi,渐仁摩谊,60
jianrujiajing,渐入佳境,60
jianxian,渐显,100
jianran,渐染,100
jianru,渐洳,100
jianzi,渐渍,100
jianzhijiajing,渐至佳境,60
mianchi,渑池,100
